Moda,Wzrost,Wf,Powietrze,Media_k,gry_czas,Muzyka__Jazz,Muzyka__Klasyczna,Muzyka__Rock,Muzyka__dance,Muzyka__hip-hop,Muzyka__pop,Muzyka__punk,Film__dramat,Film__familijne,Film__fantasy,Film__horror,Film__komedia,Film__kryminal,Sport_u__pilka nozna,Sport_u__plywanie,Sport_u__siatkowka,Sport_u__silownia (fitness),Sport_u__tenis,Sport_o__bobsleje,Sport_o__hokej na lodzie,Sport_o__lyzwiarstwo figurowe,Sport_o__narciarstwo alpejskie,Sport_o__skoki narciarskie,Komputer__Acer,Komputer__Apple,Komputer__Dell,Komputer__HP,Komputer__Lenovo,Komputer__Microsoft,Samochod__Audi,Samochod__BMW,Samochod__Citroen,Samochod__Fiat,Samochod__Ford,Samochod__Toyota,Literatura__bajka,Literatura__esej,Literatura__opowiadanie,Literatura__powiesc,Smak__kwasne,Smak__slodkie,Smak__slone,Wolny_czas__czytam,Wolny_czas__ide do kina,Wolny_czas__ogladam telewizje,Wolny_czas__spaceruje,Wolny_czas__spie,Miasto__Gdansk,Miasto__Lublin,Miasto__Poznan,Miasto__Warszawa,Miasto__Wroclaw,Kraj__Australia,Kraj__Japonia,Kraj__Niemcy,Kraj__Polska,Kraj__Stany Zjednoczone,Włosy__biale,Włosy__blond,Włosy__czarny,Włosy__siwe,Włosy__szatyn,Okulary__nie,Okulary__tak,Przedmiot__biologia,Przedmiot__chemia,Przedmiot__fizyka,Przedmiot__historia,Przedmiot__j. polski,Przedmiot__matematyka,Przedmiot__wf,Gra__karciane,Gra__logiczne,Gra__przygodowe,Gra__strategiczne,Gra__strzelanki,Sniadanie__nie,Sniadanie__tak,Kino_teatr__nie,Kino_teatr__tak,Pora__jesien,Pora__lato,Pora__wiosna,Pora__zima,Ksiazki__ebooki,Ksiazki__ksiazki papierowe,Ksiazki__nie czytam,Gotowanie__Nie,Gotowanie__Tak,Zajecie__Czytanie,Zajecie__Gry komputerowe,Zajecie__Sport,Zajecie__sluchanie muzyki,Media_u__Facebook,Media_u__Instagram,Media_u__TikTok,Media_u__nie uzywam,Technologie__nie,Technologie__tak,Fryzura__nie,Fryzura__tak,Paznokcie__nie,Paznokcie__tak,Wakacje__Odpoczynek w domu,Wakacje__Podrozowanie,Wakacje__Praca,Rod_prz_sam__Przyjaciele,Rod_prz_sam__Rodzina,Rod_prz_sam__samotnie,Jedzenie__Domowe jedzenie,Jedzenie__Fast food,Jedzenie__Kuchnia miedzynarodowa,Wartosc__Kariera,Wartosc__Przyjazn,Wartosc__Rodzina,Wartosc__zdrowie,Napoj__herbata,Napoj__kawa,Napoj__kolorowe napoje gazowane,Napoj__soki,Napoj__woda,Dom__lazienka,Dom__pokoj,Dom__salon,Zwierzak__kot,Zwierzak__krolik,"Zwierzak__maly gryzon (kawia, mysz...)",Zwierzak__pies,Plec__kobieta,Plec__mezczyzna
0,174.0,2,2,2,1,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,True,False,False,False,False,True,False,False,False,False,False,True,False,True,False,False,False,False,True,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,True,False,False,True,False,True,False,False,False,True,True,False,False,False,True,False,False,False,True,False,True,False,False,False,True,True,False,False,True,False,True,False,True,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False,False,True,True,False,False,False,False,True
3,197.5,0,2,0,2,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False,False,True,False,False,False,False,False,True,False,False,True,False,False,True,False,False,False,False,False,False,False,True,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,True,True,False,False,False,True,False,True,False,False,False,True,False,True,False,False,False,False,False,True,False,True,True,False,True,False,False,False,True,True,False,False,False,False,True,False,True,False,False,False,False,False,False,True,True,False,False,False,False,False,True,False,True
0,186.0,1,2,2,1,False,False,True,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,True,False,True,False,True,False,False,False,True,False,False,True,False,False,True,False,True,False,False,False,False,True,True,False,False,True,False,True,False,False,True,False,False,False,True,False,False,True,False,False,False,False,False,True,False,True,False,True,False,False,False,False,True
0,186.0,2,1,2,2,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False,False,True,False,False,False,False,True,False,False,True,False,False,False,False,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False,True,False,True,False,False,True,False,False,True,False,False,True,False,True,False,False,False,False,True,False,False,True,True,False,False,True,False,True,False,True,False,False,False,False,True,False,True,False,False,False,False,False,False,True,False,True,False,True,False,False,False,False,True
0,183.0,1,2,2,2,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,True,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,True,True,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False,True,True,False,False,True,False,False,False,True,False,False,True,False,True,False,False,False,True,False,False,False,True,True,False,False,True,False,True,False,True,False,False,True,False,False,True,False,False,False,False,False,False,False,True,False,True,False,True,False,False,False,False,True
3,185.0,2,1,2,2,False,False,False,False,True,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,False,True,True,False,False,False,False,False,False,True,False,False,False,False,False,True,True,False,True,False,False,False,False,True,False,True,False,False,True,False,True,False,False,True,False,False,False,False,True,True,False,True,False,False,True,False,True,False,False,False,False,True,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,True
3,169.0,1,2,0,2,False,True,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,True,True,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,True,False,False,True,True,False,False,False,False,True,True,False,False,False,True,True,False,False,False,False,False,False,True,False,True,True,False,False,True,False,False,True,False,False,True,False,False,True,False,True,False,False,False,False,False,True,False,False,True,False,False,False,False,True,False,True
3,159.0,1,1,1,0,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,True,True,False,False,False,False,False,False,True,False,False,False,True,False,False,False,True,False,True,False,False,False,True,False,True,False,False,True,True,False,False,False,True,False,False,False,True,False,True,False,True,False,False,True,False,False,True,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,True,True,False,False,False,True,False
2,167.0,1,1,1,0,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False,True,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False,False,False,True,False,False,True,False,False,False,True,False,True,False,False,True,False,False,True,False,False,True,False,False,False,True,True,False,True,False,True,False,False,True,False,False,False,False,True,False,True,False,False,True,False,False,False,False,False,True,False,True,False,False,False,True,False
0,170.0,2,2,2,0,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,True,True,False,False,False,False,False,False,True,False,True,False,False,False,False,False,True,True,False,False,True,False,False,False,False,True,False,True,False,False,True,False,False,False,True,False,False,True,True,False,False,True,False,True,False,True,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,True,False,True,False,False,False,True,False
