Moda,Wolny_czas__spie,Sniadanie__nie,Zajecie__Czytanie,Paznokcie__nie,Wakacje__Praca
0,False,False,False,False,False
2,True,False,False,True,True
0,False,False,False,False,False
0,True,False,False,False,False
0,False,False,False,False,False
2,True,True,False,True,False
2,False,False,True,False,True
2,False,False,True,True,False
0,False,True,False,True,False
0,True,False,False,False,False
1,True,True,False,False,False
1,True,False,False,False,False
0,False,False,False,False,False
0,False,False,True,False,False
0,False,False,False,False,False
1,True,True,False,False,False
1,False,False,True,True,False
1,False,False,False,False,False
1,False,False,False,False,False
1,True,False,False,True,False
2,False,False,False,True,False
2,True,True,False,True,True
2,False,True,False,True,True
1,False,True,False,False,False
2,False,False,True,True,False
0,False,False,True,False,False
0,False,False,False,True,False
0,False,False,False,True,False
0,False,False,False,True,False
